iter	MultiClass
0	1.374906811
1	1.222526605
2	1.107579321
3	1.01846587
4	0.9500706529
5	0.8951885099
6	0.8487031415
7	0.8090397666
8	0.7772204863
9	0.7502839353
10	0.7256124307
11	0.7050202214
12	0.6878354441
13	0.6729056096
14	0.6603650258
15	0.6478449245
16	0.6382963608
17	0.6283517295
18	0.6211397401
19	0.6132386487
20	0.6059243609
21	0.5995138021
22	0.5940200818
23	0.5894436675
24	0.584690893
25	0.5808420952
26	0.5776280419
27	0.5749259883
28	0.572109475
29	0.5696539734
30	0.567553185
31	0.5657087101
32	0.5637872771
33	0.5620547067
34	0.5607861141
35	0.5590859521
36	0.5572388845
37	0.556274032
38	0.5552525275
39	0.5544035624
40	0.5533620161
41	0.5525005544
42	0.5515747813
43	0.5507018368
44	0.5500472367
45	0.5492226206
46	0.54843404
47	0.5479430876
48	0.5476250066
49	0.5470636356
50	0.5468336723
51	0.5461621397
52	0.5459205571
53	0.5455730902
54	0.5451971423
55	0.5450294875
56	0.5449055268
57	0.544413231
58	0.544021634
59	0.5437373204
60	0.5432028513
61	0.5430545032
62	0.5427429891
63	0.5426275795
64	0.542574324
65	0.5420446358
66	0.5420347824
67	0.5419076983
68	0.5417275891
69	0.541276105
70	0.5410131936
71	0.5408928982
72	0.5407881103
73	0.5407808894
74	0.5407451184
75	0.5405944365
76	0.5405900912
77	0.5405121241
78	0.5404119311
79	0.5404083198
80	0.5403704572
81	0.540368045
82	0.5403624791
83	0.5403397513
84	0.5403349466
85	0.5402718094
86	0.5401754758
87	0.5399109905
88	0.5398671374
89	0.5398286034
90	0.5397921223
91	0.5397862971
92	0.5397559561
93	0.5397043205
94	0.5395002186
95	0.5394794693
96	0.5394423471
97	0.5394350368
98	0.5394297159
99	0.5394105231
100	0.5392926997
101	0.5390108219
102	0.5389985202
103	0.5389304027
104	0.5389261198
105	0.5389187565
106	0.5389078316
107	0.5388995772
108	0.5388101174
109	0.5388033866
110	0.5387991724
111	0.5387935531
112	0.5386950291
113	0.5386865372
114	0.5386470174
115	0.5386416832
116	0.5386371256
117	0.5386110395
118	0.5385798586
119	0.5385771837
120	0.5385708234
121	0.538541161
122	0.5385369693
123	0.5385271254
124	0.5385097005
125	0.5385046442
126	0.5384964427
127	0.5384889242
128	0.538481327
129	0.5384321402
130	0.5384281295
131	0.5384218353
132	0.5384167391
133	0.5383914126
134	0.5383846792
135	0.5383782758
136	0.5383691379
137	0.5383397569
138	0.538321977
139	0.5383155681
140	0.5383051775
141	0.5382103607
142	0.5382040938
143	0.5381916307
144	0.538186706
145	0.5381809548
146	0.5381759276
147	0.5381690842
148	0.5381573134
149	0.5381539339
150	0.5381505811
151	0.5381426331
152	0.5381328354
153	0.5381238354
154	0.5381186083
155	0.5381124959
156	0.5379668246
157	0.5379330486
158	0.5379297956
159	0.5379240782
160	0.5379166486
161	0.5379114942
162	0.5379044818
163	0.53787057
164	0.5378621711
165	0.5378548137
166	0.5378473799
167	0.5378429181
168	0.5378348347
169	0.5378207965
170	0.537814277
171	0.5378042955
172	0.5378004
173	0.5377948762
174	0.5377833003
175	0.5377781438
176	0.5377749119
177	0.5377693514
178	0.5377631164
179	0.5377571237
180	0.5377514778
181	0.5377450876
182	0.5377171382
183	0.5377122702
184	0.5376231075
185	0.5376163153
186	0.5376075117
187	0.5376021181
188	0.5375978382
189	0.5375888025
190	0.537584408
191	0.5375786675
192	0.5375539592
193	0.537273811
194	0.5372346364
195	0.5372265563
196	0.5371278493
197	0.5371226043
198	0.5371168335
199	0.5371116676
200	0.5371052255
201	0.5371004854
202	0.5370702079
203	0.5370645079
204	0.537056282
205	0.5370519001
206	0.5370444277
207	0.5370351784
208	0.5370332359
209	0.537026209
210	0.5370222317
211	0.5370140873
212	0.5370059697
213	0.5369972705
214	0.5368134718
215	0.5368084779
216	0.5367984676
217	0.5367926851
218	0.5367815006
219	0.5367760921
220	0.5367419001
221	0.5367327774
222	0.5367249883
223	0.5367213597
224	0.5367049485
225	0.536698043
226	0.5366931188
227	0.5366865415
228	0.5364400064
229	0.5364342435
230	0.5364274662
231	0.5364235172
232	0.5364134285
233	0.5364054234
234	0.5363984398
235	0.5363946696
236	0.5363846977
237	0.5363796235
238	0.5363687592
239	0.5363633833
240	0.5363581873
241	0.5363537625
242	0.5363476997
243	0.5363419848
244	0.5363365811
245	0.5363262291
246	0.5363173931
247	0.5363133261
248	0.5363076777
249	0.5362972895
250	0.5362911681
251	0.5362856606
252	0.5362822073
253	0.5362774356
254	0.5362693393
255	0.5362655297
256	0.5362524792
257	0.5362453892
258	0.5362384848
259	0.5362342076
260	0.5362277391
261	0.5362219405
262	0.5362155012
263	0.5362120972
264	0.5362021951
265	0.5361451717
266	0.5361364428
267	0.5361319698
268	0.536122978
269	0.5361187702
270	0.536113907
271	0.5361066403
272	0.536099188
273	0.5360911188
274	0.5360858931
275	0.5360792057
276	0.5360748214
277	0.536069586
278	0.5360661439
279	0.5360586065
280	0.5360522851
281	0.5360447461
282	0.5360391855
283	0.5360338813
284	0.5360290488
285	0.5360194876
286	0.5360152226
287	0.5360032343
288	0.5359963759
289	0.5359862083
290	0.5359823666
291	0.5359786183
292	0.5359732564
293	0.5359629485
294	0.5359567724
295	0.5359501195
296	0.5359443907
297	0.5359361757
298	0.5359300974
299	0.5359254546
300	0.5359187996
301	0.5359126104
302	0.5358834165
303	0.5357648413
304	0.5357575296
305	0.5356991987
306	0.5356914705
307	0.5356880015
308	0.5356820126
309	0.5356786336
310	0.5356735314
311	0.5356694223
312	0.5356620924
313	0.535656148
314	0.5356499334
315	0.5356429086
316	0.5356381244
317	0.5356327208
318	0.5356251855
319	0.5356168031
320	0.5356100516
321	0.5356047586
322	0.5356017124
323	0.5355947019
324	0.535587424
325	0.5355787219
326	0.535572487
327	0.535565992
328	0.5355625747
329	0.5355564749
330	0.5355499307
331	0.535541594
332	0.5355364361
333	0.5355311594
334	0.5355245471
335	0.535490012
336	0.535468394
337	0.5354623956
338	0.5354562439
339	0.5354519946
340	0.5354452379
341	0.5354401081
342	0.535435055
343	0.5354300311
344	0.5354251924
345	0.5354154822
346	0.5354092631
347	0.5354049226
348	0.5353964925
349	0.5351777289
350	0.5351717798
351	0.535166665
352	0.5351630564
353	0.5351573462
354	0.5351477707
355	0.535141408
356	0.5351345919
357	0.535130095
358	0.5351269873
359	0.5351214303
360	0.5351163138
361	0.5350986447
